,,,,,
"Source:  USCIS, as of June 30, 2017. Notes: All data are based on approved petitions during the fiscal year. Per USCIS best practices, units of less than 10 are aggregated so as to limit the possibility of the de-anonymization of data.  “D” represents data withheld to protect privacy. Total number of beneficiaries includes initial, renewal, cap-subject, and cap-exempt petitions. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary includes both full-time and part-time employment.  In lieu of the required degree a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty.",,,,,
Employer Information,,Petition Information by Employer,,,
,  ,,   ,Master's,D
4564, SIPARADIGM LLC ,D," 65,395 ",Bachelor's,D
3152, CONFORMIS INC ,D," 106,667 ",Master's,D
6054, PROCYON TECHNOSTRUCTURE LLC ,D," 73,667 ",Bachelor's,D
,  ,,   ,Master's,D
5636, ARCH SYSTEMS LLC ,D," 103,333 ",Master's,D
4150, SOUND INPATIENT PHYSICIAN MED GRO ,D," 231,062 ",Professional Degree,D
8547, KR ELIXIR INC ,D," 70,342 ",Bachelor's,D
,  ,,   ,Master's,D
7669, CORPUS CHRISTI HOSPITALISTS PLLC ,D," 240,000 ",Professional Degree,D
0522, GUILFORD COUNTY SCHOOLS ,D," 44,260 ",Master's,D
1011, CLINTON CITY SCHOOLS ,D," 44,055 ",Master's,D
2508, RICHMOND COUNTY SCHOOLS ,D," 38,297 ",Bachelor's,D
,  ,,   ,Master's,D
8420, SONOCO PRODUCTS COMPANY ,D," 82,231 ",Bachelor's,D
,  ,,   ,Master's,D
1080, WEBER AUTOMOTIVE CORP ,D," 126,667 ",Bachelor's,D
,  ,,   ,Master's,D
7523, HABIF AROGETI & WYNNE LLP ,D," 60,000 ",Bachelor's,D
,  ,,   ,Master's,D
8973, TFL INC ,D," 43,590 ",Bachelor's,D
0818, ALPHADYNE ASSET MANAGEMENT LLC ,D," 120,000 ",Master's,D
0087, BARNWELL SCH DISTRICT 45 ,D," 50,268 ",Missing Education,D
,  ,,   ,Master's,D
0234, GREENVILLE COUNTY PUBLIC SCHOOLS ,D," 47,702 ",Bachelor's,D
,  ,,   ,Master's,D
0336, CHESTERFIELD COUNTY SCH DISTRICT ,D," 52,206 ",Master's,D
0338, COLLETON COUNTY SCHOOL DISTRICT ,D," 46,281 ",Master's,D
0864, CALHOUN COUNTY SCHOOL DISTRICT ,D," 45,436 ",Master's,D
6554, CRAWFORD & COMPANY INC ,D," 84,283 ",Bachelor's,D
,  ,,   ,Master's,D
9575, AMERICAN SECURITY INSURANCE CO ,D," 98,277 ",Bachelor's,D
,  ,,   ,Master's,D
4297, ALTA TELECOM INC ,D," 216,687 ",Bachelor's,D
8113, SONY PICTURES TELEVISION INC ,D," 112,393 ",Bachelor's,D
,  ,,   ,Master's,D
0371, THE GORDIAN GROUP ,D," 87,667 ",Master's,D
7969, EQUIFAX CONSUMER SERVICES LLC ,D," 100,250 ",Bachelor's,D
,  ,,   ,Master's,D
9815, COX MEDIA GROUP LLC ,D," 71,980 ",Bachelor's,D
,  ,,   ,Master's,D
5600, GEORGIA CHRISTIAN UNIV INC ,D," 17,323 ",Bachelor's,D
,  ,,   ,Master's,D
4107, SUN TECHNOLOGIES INC ,D," 82,000 ",Bachelor's,D
,  ,,   ,Master's,D
7451, SUNPLUS DATA GROUP ,D," 74,395 ",Bachelor's,D
,  ,,   ,Master's,D
7989, GLOBAL PAYMENT HOLDING COMPANY ,D," 86,135 ",Bachelor's,D
,  ,,   ,Master's,D
9335, PSC BIOTECH CORP ,D," 96,560 ",Bachelor's,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
6389, IMPLEMENTATION TECH CONSULTING IN ,D," 101,333 ",Master's,D
8465, ISIGMA INC ,D," 69,675 ",Master's,D
2703, CATALYST NETWORKS DBA BRAINJOCKS ,D," 90,000 ",Bachelor's,D
,  ,,   ,Master's,D
7819, CHILDREN S HEALTHCARE OF ATLANTA ,D," 74,634 ",Master's,D
,  ,,   ,Professional Degree,D
8737, PENTAIR VALVES & CONTROLS US LP ,D," 92,968 ",Bachelor's,D
,  ,,   ,Master's,D
0345, EPI-USE AMERICA INC ,D," 97,886 ",Bachelor's,D
0083, CHINA CONSTRUCTION AMERICA OF S C ,D," 57,387 ",Bachelor's,D
,  ,,   ,Master's,D
4679, RADIANT TECHNOLOGIES INC ,D," 64,000 ",Bachelor's,D
,  ,,   ,Master's,D
8145, KSAP TECHNOLOGIES INC ,D," 103,333 ",Bachelor's,D
,  ,,   ,Master's,D
8736, CONNECTURE INC ,D," 95,432 ",Bachelor's,D
,  ,,   ,Master's,D
2543, OBERTHUR TECH OF AMERICA CORP ,D," 98,333 ",Bachelor's,D
,  ,,   ,Master's,D
9264, ITAAS INC ,D," 96,782 ",Bachelor's,D
,  ,,   ,Master's,D
3460, METASYS TECHNOLOGIES INC ,D," 118,080 ",Bachelor's,D
,  ,,   ,Master's,D
8052, SOFTPROS INC ,D," 114,242 ",Bachelor's,D
0684, ALLCONNECT INC ,D," 88,333 ",Master's,D
3096, SHIPXPRESS INC ,D," 888,732 ",Bachelor's,D
0405, LIAISON TECHNOLOGIES ,D," 109,556 ",Master's,D
9828, 24 ON PHYSICIANS P C ,D," 233,333 ",Professional Degree,D
2651, APP DEVELOPMENT RESOURCES INC ,D," 136,667 ",Bachelor's,D
,  ,,   ,Master's,D
8245, TYCO FIRE PRODUCTS LP ,D," 127,061 ",Bachelor's,D
,  ,,   ,Master's,D
7017, HEATCRAFT REFRIGERATION PRODS LLC ,D," 101,667 ",Bachelor's,D
,  ,,   ,Master's,D
8861, SIMPLEXGRINNELL LP ,D," 87,837 ",Bachelor's,D
,  ,,   ,Master's,D
0385, CUDD PUMPING SERVICES INC ,D," 75,000 ",Bachelor's,D
,  ,,   ,Master's,D
9325, CHAINALYTICS LLC ,D," 74,047 ",Master's,D
0214, COBB COUNTY SCHOOL DISTRICT ,D," 61,890 ",Bachelor's,D
,  ,,   ,Master's,D
0309, RANDOLPH COUNTY BOARD OF EDUCATIO ,D," 51,492 ",Bachelor's,D
,  ,,   ,Master's,D
1997, GA SOUTHWESTERN STATE UNIV ,D," 47,918 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
3819, HOLLAND & KINIGHT LLP ,D," 140,000 ",Bachelor's,D
,  ,,   ,Professional Degree,D
6017, AMERICAN BANKERS LIFE ASSURANCE C ,D," 85,910 ",Bachelor's,D
,  ,,   ,Master's,D
7311, BAPTIST HEALTH SYSTEM INC ,D," 267,253 ",Professional Degree,D
4138, ELIZABETH ARDEN INC ,D," 104,333 ",Master's,D
2732, PALM BEACH ATLANTIC UNIV ,D," 69,292 ",Doctorate,D
,  ,,   ,Professional Degree,D
7022, CONTROL LASER CORPORATION ,D," 58,978 ",Master's,D
6273, ORLANDO HEALTH INC ,D," 172,828 ",Master's,D
,  ,,   ,Professional Degree,D
2879, INFO TECH INC ,D," 88,621 ",Master's,D
,  ,,   ,Professional Degree,D
9984, MIAMI BEACH COMMUNITY HEALTH CENT ,D," 112,000 ",Master's,D
,  ,,   ,Professional Degree,D
1461, PAYSYS INTERNATIONAL INC ,D," 97,536 ",Bachelor's,D
0012, ADVENTIST HEALTH SYSTEM SUNBELT H ,D," 81,667 ",Bachelor's,D
,  ,,   ,Master's,D
8411, MERGE HEALTHCARE SOLUTIONS INC ,D," 86,470 ",Master's,D
7553, BETHESDA HEALTH INC ,D," 55,196 ",Bachelor's,D
,  ,,   ,Master's,D
8435, BROKEN SOUND CLUB INC ,D," 45,333 ",Bachelor's,D
,  ,,   ,Master's,D
6965, BAYCARE HEALTH SYS INC ,D," 112,558 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Professional Degree,D
6882, BIOMET 3I LLC ,D," 88,312 ",Doctorate,D
,  ,,   ,Master's,D
0756, ELITE SOFTWARE INC ,D," 52,208 ",Master's,D
9793, ADVENTIST UNIV OF HEALTH SCIENCES ,D," 61,322 ",Doctorate,D
4176, PREMIERE GLOBAL SERVICES INC ,D," 112,267 ",Bachelor's,D
,  ,,   ,Master's,D
4925, ISLANDS MECHANICAL CONTRACTOR INC ,D," 53,414 ",Bachelor's,D
2857, ELECTRONIC ARTS-TIBURON A FL CORP ,D," 81,367 ",Bachelor's,D
,  ,,   ,Master's,D
6803, FLORIDA HOSPITAL DELAND ,D," 34,682 ",Bachelor's,D
0987, HOSPITAL INTERNAL MEDICINE PA ,D," 154,667 ",Professional Degree,D
8029, DINESH KHANNA MD DBA PREMIER PHAR ,D," 133,333 ",Bachelor's,D
,  ,,   ,Professional Degree,D
2402, IQOR GLOBAL SERVICES LLC ,D," 81,923 ",Bachelor's,D
,  ,,   ,Master's,D
5729, SINMAT INC ,D," 63,331 ",Doctorate,D
,  ,,   ,Master's,D
5100, FIRST CHOICE PEDIATRICS INC ,D," 120,000 ",Professional Degree,D
3703, FLOW SPORTS ,D," 81,667 ",Master's,D
0800, PINELLAS COUNTY BOARD OF COUNTY C ,D," 91,907 ",Master's,D
3150, BROWN-FORMAN CORP ,D," 82,653 ",Bachelor's,D
,  ,,   ,Master's,D
2792, KENTUCKY FARM BUREAU MUTUAL INSUR ,D," 82,591 ",Bachelor's,D
,  ,,   ,Master's,D
4671, CENTRE COLLEGE ,D," 54,500 ",Doctorate,D
,  ,,   ,Master's,D
2973, JENNIE STUART MED CTR INC ,D," 207,667 ",Professional Degree,D
4620, MEMORIAL HOSP INC D/B/A MANCHESTE ,D," 227,905 ",Bachelor's,D
,  ,,   ,Professional Degree,D
1211, EASTERN KENTUCKY UNIV ,D," 51,047 ",Doctorate,D
,  ,,   ,Master's,D
7430, WANXIANG AMERICA CORP ,D," 74,833 ",Bachelor's,D
,  ,,   ,Master's,D
0373, ETHERIC NETWORKS INC ,D," 83,747 ",Master's,D
5159, KIRSHENBAUM BOND SENECAL PARTNERS ,D," 85,833 ",Bachelor's,D
0598, MOUSER ELECTRONICS INC ,D," 89,333 ",Bachelor's,D
,  ,,   ,Master's,D
9163, ZENITH ELECTRONICS LLC ,D," 171,813 ",Bachelor's,D
,  ,,   ,Master's,D
4249, DATRIUM INC ,D," 125,783 ",Bachelor's,D
,  ,,   ,Master's,D
4897, MERCY CLINIC JOPLIN LLC ,D," 183,794 ",Professional Degree,D
8282, NEXON M INC ,D," 118,333 ",Bachelor's,D
,  ,,   ,Master's,D
8780, ZOOM VIDEO COMMUNICATIONS INC ,D," 109,468 ",Bachelor's,D
,  ,,   ,Master's,D
2102, AXALTA COATING SYSTEMS LLC ,D," 106,000 ",Doctorate,D
,  ,,   ,Professional Degree,D
8292, Y MEDIA LABS LLC ,D," 103,333 ",Bachelor's,D
,  ,,   ,Master's,D
8523, CUBERON INC ,D," 106,667 ",Doctorate,D
,  ,,   ,Master's,D
5780, ROBERT BOSCH TOOL CORPORATION ,D," 78,558 ",Master's,D
6301, RHODES COLLEGE ,D," 77,389 ",Doctorate,D
1691, DICKSON MEDICAL ASSOCIATES ,D," 305,000 ",Doctorate,D
,  ,,   ,Professional Degree,D
1146, SUNTRUST ROBINSON HUMPHREY INC ,D," 107,633 ",Master's,D
9661, VARSITY SPIRIT CORPORATION ,D," 55,805 ",Bachelor's,D
8183, NEMAK USA INC ,D," 84,813 ",Associate Degree,D
,  ,,   ,Master's,D
2373, INGRAM BOOK GROUP INC ,D," 92,512 ",Bachelor's,D
,  ,,   ,Master's,D
9052, FAMILY HEALTH GROUP INC ,D," 254,492 ",Professional Degree,D
0412, MOUNTAIN STATES PHYSICIAN GR INC ,D," 211,200 ",Professional Degree,D
0098, QUALIFACTS SYSS INC ,D," 101,064 ",Bachelor's,D
,  ,,   ,Master's,D
5608, SL AMERICA CORP ,D," 64,827 ",Master's,D
1198, VHS ACQUISITION SUBSIDIARY NUMBER ,D," 58,524 ",Professional Degree,D
0101, CHATTANOOGA HAMILTON COUNTY HOSP ,D," 248,000 ",Professional Degree,D
0841, SHELBY COUNTY GOVERMENT ,D," 61,978 ",Doctorate,D
,  ,,   ,Master's,D
1445, DEPT OF COMMERCE & INSUR STATE OF ,D," 55,688 ",Bachelor's,D
,  ,,   ,Doctorate,D
,  ,,   ,Master's,D
3830, BLUE CROSS & BLUE SHIELD OF ALABA ,D," 90,963 ",Bachelor's,D
,  ,,   ,Master's,D
2164, ALFA MUTUAL INSURANCE CO ,D," 89,343 ",Bachelor's,D
,  ,,   ,Master's,D
0160, FAIRFIELD MANUFACTURING COM INC ,D," 80,471 ",Master's,D
9589, ALABAMA SPECIALTY PRODUCTS INC ,D," 61,133 ",Bachelor's,D
,  ,,   ,Master's,D
1100, THE UNIV OF WEST AL ,D," 46,955 ",Doctorate,D
1101, AL STATE UNIV ,D," 81,333 ",Doctorate,D
6143, HOWARD INDUSTRIES INC ,D," 80,153 ",Doctorate,D
,  ,,   ,Master's,D
8106, ENTERGY OPERATIONS INC ,D," 73,459 ",Bachelor's,D
,  ,,   ,Master's,D
9537, EXCELON SOLUTIONS LLC ,D," 72,107 ",Master's,D
0013, ALCORN STATE UNIV ,D," 59,705 ",Doctorate,D
,  ,,   ,Master's,D
0513, INMARSAT SOLUTIONS US INC ,D," 71,687 ",Master's,D
6638, EVERGLADES COLLEGE INC ,D," 39,439 ",Bachelor's,D
,  ,,   ,Master's,D
6270, ORIGENE TECHNOLOGIES INC ,D," 67,374 ",Bachelor's,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
6353, DE NORA WATER TECHNOLOGIES CORP ,D," 72,789 ",Master's,D
1385, BEREAN GROUP INTERNATIONAL INC ,D," 113,280 ",Master's,D
7909, MOTIONPOINT CORPORATION ,D," 67,333 ",Bachelor's,D
3056, CRISPIN PORTER & BOGUSKY LLC ,D," 76,500 ",Bachelor's,D
,  ,,   ,Master's,D
7869, MEDUSIND OF MIAMI INC ,D," 93,655 ",Bachelor's,D
,  ,,   ,Master's,D
7715, NAJSOFT INC ,D," 74,000 ",Bachelor's,D
5667, TRANSPLANT CONNECT ,D," 112,667 ",Bachelor's,D
,  ,,   ,Master's,D
2296, ISANI CONSULTANTS L P ,D," 61,833 ",Master's,D
5206, GLOBAL COURIER EXPRESS INC ,D," 37,600 ",Master's,D
5384, MCALLEN HOSPITALIST GR PLLC DBA V ,D," 283,333 ",Professional Degree,D
8147, ANAND PAG INC ,D," 76,667 ",Master's,D
7949, GYUNGLIM USA INC ,D," 45,110 ",Bachelor's,D
7697, CANADIAN SOLAR USA INC ,D," 98,500 ",Bachelor's,D
,  ,,   ,Master's,D
9939, DUMAC INC ,D," 58,333 ",Bachelor's,D
,  ,,   ,Master's,D
1965, PONTIFICAL CATHOLIC UNIV OF PR ,D," 55,769 ",Bachelor's,D
,  ,,   ,Doctorate,D
0132, EMC2 ELECTRICAL INC D B A EMCE CO ,D," 40,000 ",Bachelor's,D
6348, LANDSCAPE MGMT SYSTEMS INC ,D," 34,239 ",Bachelor's,D
2657, LEADING TECH CONSTRUCTION CO ,D," 60,639 ",Bachelor's,D
8829, MARIANO PRIME LIMITED LIABILITY C ,D," 36,705 ",Bachelor's,D
1056, WM ENGINEERING SERVICES LLC ,D," 48,435 ",Bachelor's,D
0324, ROYAL PROPERTIES INC ,D," 85,000 ",Bachelor's,D
1242, DELOITTE & TOUCHE LLC ,D," 38,833 ",Bachelor's,D
9753, DHANDHO HOLDINGS CORP ,D," 98,333 ",Master's,D
7667, AGGREKO INTL PROJECTS LTD ,D," 45,372 ",Bachelor's,D
5478, GLUMAC ,D," 78,940 ",Bachelor's,D
,  ,,   ,Master's,D
3230, LUCASFILM ENTERTAINMENT CO LTD LL ,D," 106,560 ",Bachelor's,D
,  ,,   ,Master's,D
8069, CALIFORNIA AIR RESOURCES BOARD ,D," 63,816 ",Doctorate,D
,  ,,   ,Master's,D
8405, SUTTER NORTH MED GROUP ,D," 450,000 ",Professional Degree,D
5180, LAWROOM ,D," 89,667 ",Master's,D
1589, XTRON SOFTWARE SERVICES INC ,D," 68,333 ",Bachelor's,D
,  ,,   ,Master's,D
8934, GRANITE SOLUTIONS GROUPE INC ,D," 163,196 ",Bachelor's,D
,  ,,   ,Master's,D
2723, FINANCIALOXYGEN INC ,D," 75,000 ",Bachelor's,D
,  ,,   ,Master's,D
8971, BPO SYSTEMS INC ,D," 71,307 ",Bachelor's,D
,  ,,   ,Master's,D
6818, THE KESWELL SCHOOL ,D," 37,321 ",Bachelor's,D
,  ,,   ,Master's,D
2048, STATACORP LP ,D," 89,667 ",Master's,D
5680, ADORESOFT CORPORATION ,D," 83,664 ",Bachelor's,D
,  ,,   ,Master's,D
6424, NEELINFO INC ,D," 85,333 ",Bachelor's,D
,  ,,   ,Master's,D
5002, NEXON AMERICA INC ,D," 98,333 ",Bachelor's,D
,  ,,   ,Master's,D
7290, THE EDRINGTON GROUP USA LLC ,D," 180,773 ",Master's,D
2651, SWABZ SYSTEMS LLC ,D," 67,767 ",Bachelor's,D
,  ,,   ,Master's,D
6904, UNIV OF AR AT LITTLE ROCK ,D," 51,333 ",Doctorate,D
2003, FEDEX FREIGHT INC ,D," 70,632 ",Doctorate,D
,  ,,   ,Master's,D
3560, WINROCK INTL INST FOR AGRICULTURA ,D," 58,863 ",Doctorate,D
,  ,,   ,Master's,D
8109, COBB VANTRESS INC ,D," 130,289 ",Doctorate,D
,  ,,   ,Master's,D
7499, BRADLEY COUNTY MEDICAL CENTER ,D," 31,915 ",Bachelor's,D
5638, INTERNEXT CORPORATION ,D," 68,834 ",Bachelor's,D
,  ,,   ,Master's,D
9286, INFOMEDIA GR INC DBA CARENET HEAL ,D," 113,667 ",Bachelor's,D
3048, COGENT MED CARE P C D/B/A SOUND P ,D," 190,848 ",Professional Degree,D
8319, AMAZON SERVICES LLC ,D," 149,855 ",Bachelor's,D
,  ,,   ,Master's,D
5987, INVISO CORP ,D," 117,167 ",Bachelor's,D
2793, JIBE CONSULTING INC ,D," 120,333 ",Bachelor's,D
,  ,,   ,Master's,D
8140, BASIS EDUCATIONAL GROUP INC ,D," 41,917 ",Bachelor's,D
,  ,,   ,Master's,D
4870, CENTRAL ARKANSAS VETERANS HEALTHC ,D," 196,000 ",Professional Degree,D
0030, UNIV OF AR AT PINE BLUFF ,D," 60,331 ",Doctorate,D
0730, EL DORADO PUBLIC SCHOOLS ,D," 40,533 ",Bachelor's,D
3651, OLOL OUR LADY OF THE LAKE HOSPITA ,D," 90,847 ",Bachelor's,D
,  ,,   ,Professional Degree,D
7181, EDG INC ,D," 74,573 ",Bachelor's,D
,  ,,   ,Master's,D
2530, HARGROVE & ASSOCIATES INC ,D," 81,813 ",Master's,D
7326, CENTURY REHAB OF TEXAS LLC ,D," 73,676 ",Doctorate,D
,  ,,   ,Master's,D
3821, INFOTECH AMERICA INC ,D," 92,411 ",Bachelor's,D
4666, PEREZ A PROFESSIONAL CORPORATION ,D," 51,736 ",Bachelor's,D
,  ,,   ,Master's,D
8703, CHAMPION TECH SVCS INC ,D," 103,307 ",Bachelor's,D
,  ,,   ,Master's,D
3792, SEEKNET USA ,D," 36,686 ",Bachelor's,D
,  ,,   ,Master's,D
8091, REVIONICS INC ,D," 103,228 ",Bachelor's,D
,  ,,   ,Master's,D
3966, AXLE INFORMATICS ,D," 85,867 ",Bachelor's,D
,  ,,   ,Master's,D
3114, GSS INFOTECH NY INC ,D," 60,000 ",Master's,D
1545, E2E SERVICES INC ,D," 106,323 ",Bachelor's,D
,  ,,   ,Master's,D
0783, NORTHWESTERN STATE UNIV ,D," 47,045 ",Bachelor's,D
,  ,,   ,Doctorate,D
0816, SOUTHEASTERN LOUISIANA UNIV ,D," 57,408 ",Doctorate,D
,  ,,   ,Master's,D
0817, SOUTHERN UNIV AT NEW ORLEANS ,D," 67,820 ",Doctorate,D
1595, LOUISIANA DEPARTMENT OF HEALTH & ,D," 57,103 ",Doctorate,D
,  ,,   ,Master's,D
9265, OKLAHOMA CITY UNIVERSITY ,D," 43,481 ",Doctorate,D
,  ,,   ,Master's,D
9285, MERCY HOSPITAL OKLAHOMA CITY INC ,D," 43,645 ",Bachelor's,D
2978, MCALESTER REGIONAL HEALTH CENTER ,D," 29,009 ",Bachelor's,D
,  ,,   ,Doctorate,D
6079, ENERCON SERVICES INC ,D," 98,850 ",Doctorate,D
,  ,,   ,Master's,D
1301, DE STA CO ,D," 105,487 ",Bachelor's,D
,  ,,   ,Master's,D
3650, INGENIA POLYMERS ,D," 128,411 ",Doctorate,D
,  ,,   ,Master's,D
1972, SAINT FRANCIS HEALTH SYSTEM ,D," 111,705 ",Doctorate,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
3838, ONEOK SERVICES COMPANY L L C ,D," 101,403 ",Master's,D
4683, B&T ENGINEERING INC ,D," 63,699 ",Master's,D
6805, NEW PORT RICHEY MED INVESTORS DBA ,D," 62,407 ",Bachelor's,D
2724, READY AT DAWN STUDIOS LLC ,D," 76,667 ",Bachelor's,D
,  ,,   ,Master's,D
5839, PRIDE TECHNOLOGIES LLC ,D," 164,050 ",Bachelor's,D
,  ,,   ,Master's,D
5305, R J REYNOLDS TOBACCO COMPANY ,D," 106,490 ",Doctorate,D
,  ,,   ,Master's,D
2207, GC ENGINEERING INC ,D," 48,187 ",Master's,D
6638, ASTELLAS US LLC ,D," 156,667 ",Master's,D
4030, AMERICAN NATIONAL INSURANCE CO ,D," 98,824 ",Bachelor's,D
9740, ARCHDIOCESE OF SAN ANTONIO ,D," 32,448 ",Bachelor's,D
7664, UNIV OF ST THOMAS ,D," 71,327 ",Doctorate,D
,  ,,   ,Master's,D
6988, THE UNIV OF TEXAS AT TYLER ,D," 95,582 ",Doctorate,D
2306, COASTAL BEND COLLEGE ,D," 45,522 ",Master's,D
4884, LONE STAR COLLEGE SYSTEM ,D," 90,630 ",Bachelor's,D
7031, EL CENTRO DEL BARRIO D/B/A CENTRO ,D," 193,333 ",Professional Degree,D
0172, THE MEN S WEARHOUSE INC ,D," 107,321 ",Bachelor's,D
5776, PARSONS SERVICE COMPANY ,D," 100,964 ",Master's,D
1207, GOEL INC D/B/A HARDY MACHINE & DE ,D," 73,696 ",Bachelor's,D
,  ,,   ,Master's,D
5225, TEXAS A&M UNIV GALVESTON ,D," 63,049 ",Doctorate,D
1011, BENCHMARK ELECTRONICS INC ,D," 81,827 ",Bachelor's,D
,  ,,   ,Master's,D
8819, TOPPAN PHOTOMASKS INC ,D," 104,135 ",Bachelor's,D
,  ,,   ,Master's,D
4146, ROCKY MOUNTAIN INSTITUTE ,D," 55,000 ",Bachelor's,D
,  ,,   ,Master's,D
0626, TEXAS A&M ENGINEERING EXT SVC PAR ,D," 65,883 ",Bachelor's,D
,  ,,   ,Master's,D
5594, THE BROUSSARD GP INC DBA TBG PART ,D," 51,959 ",Master's,D
6057, WORLDS GOLD & DIAMONDS INC ,D," 60,855 ",Bachelor's,D
,  ,,   ,Master's,D
7293, BIZLINK TECH INC ,D," 36,335 ",Master's,D
6670, DAMAN INCORPORATED ,D," 101,667 ",Bachelor's,D
,  ,,   ,Master's,D
0190, MSD CAPITAL L P ,D," 111,667 ",Bachelor's,D
,  ,,   ,Master's,D
6670, ZILLIANT INC ,D," 106,933 ",Master's,D
7355, FOOD SAFETY NET SERVICES LTD ,D," 44,603 ",Bachelor's,D
0740, K&M SYSTEMS INC ,D," 25,019 ",Master's,D
2654, WINCOR NICDORF INC ,D," 106,025 ",Bachelor's,D
,  ,,   ,Master's,D
0638, INTERA INCORPORATED ,D," 68,335 ",Doctorate,D
2373, COMPUTER PROGRAMS & SYSTEMS INC ,D," 90,021 ",Bachelor's,D
,  ,,   ,Master's,D
3231, ENQUIZIT INC ,D," 99,833 ",Bachelor's,D
,  ,,   ,Master's,D
0753, ITRENDZ INC ,D," 66,333 ",Master's,D
3016, THOMSON REUTERS APPLICATIONS INC ,D," 122,862 ",Master's,D
3141, MODCLOTH INC ,D," 122,500 ",Bachelor's,D
,  ,,   ,Master's,D
4293, QTG DEVELOPEMENT INC ,D," 95,067 ",Bachelor's,D
,  ,,   ,Master's,D
6460, DNA2 0 INC ,D," 99,167 ",Doctorate,D
,  ,,   ,Master's,D
1935, RAPID7 LLC ,D," 108,330 ",Master's,D
4050, CLIFTON DOUGLAS LLP ,D," 58,785 ",Master's,D
5527, BRANTA GROUP LLC ,D," 61,333 ",Bachelor's,D
,  ,,   ,Master's,D
5715, PLUG & PLAY LLC ,D," 89,267 ",Bachelor's,D
,  ,,   ,Master's,D
0761, AMERICAN SOFTWARE CONSULTING INC ,D," 86,333 ",Bachelor's,D
5783, MEDRIO INC ,D," 110,667 ",Master's,D
9734, OWENS CORNING SALES LLC ,D," 103,617 ",Bachelor's,D
,  ,,   ,Master's,D
9235, DFG INVESTMENT ADVISERS INC ,D," 143,333 ",Bachelor's,D
,  ,,   ,Master's,D
8060, COUNSYL INC ,D," 122,032 ",Bachelor's,D
,  ,,   ,Master's,D
0317, BEAUMONT INDEPENDENT SCH DISTRICT ,D," 48,686 ",Bachelor's,D
,  ,,   ,Master's,D
0537, TEXAS A&M AGRILIFE EXTENSION SVC ,D," 68,665 ",Doctorate,D
0654, CYPRESS FAIRBANKS INDEPENDENT SCH ,D," 53,804 ",Bachelor's,D
,  ,,   ,Doctorate,D
1550, LA JOYA INDEPENDENT SCH DISTRICT ,D," 49,501 ",Bachelor's,D
3131, SPLENDORA INDEPENDENT SCHOOL DIST ,D," 51,817 ",Bachelor's,D
,  ,,   ,Doctorate,D
3200, TEXAS HEART INST ,D," 45,188 ",Master's,D
,  ,,   ,Professional Degree,D
7200, NCH CORPORATION ,D," 98,861 ",Bachelor's,D
,  ,,   ,Master's,D
5338, CMC STEEL FABRICATORS INC D/B/A C ,D," 90,880 ",Bachelor's,D
,  ,,   ,Master's,D
5281, EFH CORPORATE SERVICES COMPANY ,D," 111,110 ",Master's,D
9692, CORGAN ASSOCIATES INC ,D," 46,000 ",Bachelor's,D
,  ,,   ,Master's,D
7032, BROWFIELD REGIONAL MED CENTER ,D," 42,252 ",Bachelor's,D
1362, UNIV MED CTR ,D," 58,815 ",Bachelor's,D
8644, AKIN GUMP STRAUSS HAUER & FELD LL ,D," 196,667 ",Master's,D
,  ,,   ,Professional Degree,D
2671, SEMINOLE HOSPITAL DIST ,D," 41,461 ",Bachelor's,D
5924, CURTAIN WALL DESIGN & CONS INC ,D," 45,000 ",Associate Degree,D
,  ,,   ,Bachelor's,D
,  ,,   ,Master's,D
1935, FREESE AND NICHOLS INC ,D," 62,853 ",Master's,D
5916, AVO MULTI-AMP CORP DBA MEGGER ,D," 92,849 ",Master's,D
6450, ARTHRITIS CENTERS OF TEXAS P A ,D," 170,000 ",Professional Degree,D
0124, STARR INDEMNITY & LIABILITY CO ,D," 115,735 ",Bachelor's,D
,  ,,   ,Master's,D
,  ,,   ,Professional Degree,D
3667, PROFESSIONAL DATASOLUTIONS INC ,D," 73,369 ",Master's,D
3604, MICHAELS STORES INC ,D," 104,753 ",Bachelor's,D
,  ,,   ,Master's,D
0538, TPUSA-FHCS INC ,D," 79,999 ",Master's,D
2928, ECTOR COUNTY HOSP DISTRICT DBA ME ,D," 47,972 ",Bachelor's,D
4768, COMPULAN CTR INC DBA DIGITAL IDVI ,D," 68,082 ",Master's,D
1610, ASEC INC ,D," 72,500 ",Master's,D
4717, AAON COIL PRODUCTS INC ,D," 83,511 ",Bachelor's,D
1156, BOXER PROPERTY MANAGEMENT ,D," 63,995 ",Bachelor's,D
,  ,,   ,Master's,D
5691, MEDSYNERGIES INC ,D," 85,354 ",Master's,D
6694, THE SHAMS GROUP LLC ,D," 52,787 ",Master's,D
9034, OBJECT INFORMATION SERVICES INC ,D," 106,672 ",Bachelor's,D
